class,support,precision,recall_TPR,specificity_TNR,f1,accuracy_ovr,roc_auc_ovr,pr_auc_ovr
DoS,7458,0.8533449825262107,0.916733708769107,0.9221132175526978,0.8839043309631545,0.920333569907736,0.9785871453296799,0.9479404400594955
Probe,2421,0.6389073950699533,0.7922346137959521,0.9461312925508125,0.7073575511709386,0.9296043293115684,0.954578464705588,0.8447154065720356
R2L,2754,0.7986798679867987,0.439360929557008,0.984588175846387,0.5668774888732724,0.9179826117814053,0.9592418010754169,0.7670277101968263
U2R,200,0.05333333333333334,0.08,0.9872896527031866,0.064,0.9792405961674947,0.8324957482993198,0.05240595705181039
normal,9711,0.9995882655687082,1.0,0.9996883035923011,0.999794090394317,0.9998225691980128,0.9999999999999999,1.0
