class,support,precision,recall_TPR,specificity_TNR,f1,accuracy_ovr,roc_auc_ovr,pr_auc_ovr
DoS,7458,0.8724574645004477,0.9144542772861357,0.9339122365106721,0.8929623567921441,0.9274751596877218,0.981700132434594,0.9476495633488468
Probe,2421,0.6991327551701134,0.86575795125981,0.9551756696317647,0.7735744602325152,0.9455731014904187,0.9535482454117421,0.8748136758058725
R2L,2754,0.7738095238095238,0.5192447349310094,0.978878221323901,0.6214689265536724,0.9227288857345636,0.9686544226359345,0.8045245368866613
U2R,200,0.18285714285714286,0.16,0.9936000716075905,0.17066666666666666,0.9862047551454932,0.909625179018976,0.13196025146085277
normal,9711,1.0,0.9994851199670477,1.0,0.9997424936910954,0.999778211497516,1.0,1.0
