class,support,precision,recall_TPR,specificity_TNR,f1,accuracy_ovr,roc_auc_ovr,pr_auc_ovr
DoS,7458,0.8522097819681791,0.969562885492089,0.9168765743073047,0.9071065671454557,0.9343062455642299,0.9836050107212259,0.953716732250518
Probe,2421,0.7025227750525578,0.8281701776125568,0.9578094717487452,0.7601895734597157,0.94388750887154,0.9382806171619098,0.8264553067439471
R2L,2754,0.9352836879432624,0.3830791575889615,0.996311268317332,0.5435342606903658,0.9213981547196594,0.9635315603231169,0.782377728060236
U2R,200,0.11475409836065574,0.21,0.985499462943072,0.14840989399293286,0.9786195883605394,0.8981727756892232,0.19695457950932396
normal,9711,1.0,1.0,1.0,1.0,1.0,1.0,1.0
