class,support,precision,recall_TPR,specificity_TNR,f1,accuracy_ovr,roc_auc_ovr,pr_auc_ovr
DoS,7458,0.8646616541353384,0.9406006972378653,0.9272172875513721,0.9010339734121122,0.9316447835344216,0.9848740200414202,0.9693259532804105
Probe,2421,0.6975245846049508,0.8496489054109871,0.9556726134274214,0.7661080074487896,0.9442867281760113,0.9669322288331552,0.8726976679187031
R2L,2754,0.8219414129810454,0.5196078431372549,0.9843355229914098,0.6367074527252502,0.9275638750887154,0.9524015965752236,0.7655095308917094
U2R,200,0.6,0.12,0.9992839240959541,0.19999999999999998,0.9914833215046132,0.9473243376297888,0.38256831186761975
normal,9711,0.9998969178435213,0.9988672639275049,0.9999220758980752,0.9993818256748404,0.9994677075940384,0.9999998074164921,0.9999997452270072
