class,support,precision,recall_TPR,specificity_TNR,f1,accuracy_ovr,roc_auc_ovr,pr_auc_ovr
DoS,7458,0.853022670025189,0.9081523196567445,0.9226435105395732,0.8797246395635798,0.9178495386799148,0.979880592176145,0.9533402097332415
Probe,2421,0.6589489158397648,0.7406030565881867,0.9538836157630572,0.6973940101127966,0.9309794180269695,0.9533849888037803,0.7935605976119715
R2L,2754,0.6863603209336251,0.3416848220769789,0.9782718544719555,0.4562424242424243,0.9005056777856636,0.9352346423943784,0.6598693689823776
U2R,200,0.14554579673776663,0.58,0.9695220193340494,0.23269809428284857,0.9660663591199432,0.8762244897959184,0.0961465466800601
normal,9711,0.9995882655687082,1.0,0.9996883035923011,0.999794090394317,0.9998225691980128,1.0,1.0
