class,support,precision,recall_TPR,specificity_TNR,f1,accuracy_ovr,roc_auc_ovr,pr_auc_ovr
DoS,7458,0.8973408541498791,0.7465808527755431,0.9577754209200583,0.8150479396911366,0.8879080908445706,0.9652829809547812,0.9463671181059379
Probe,2421,0.5592689295039165,0.8847583643122676,0.9161158872931472,0.685330347144457,0.9127484031227822,0.946192091704994,0.8382004629241252
R2L,2754,0.6619523973784064,0.6968046477850399,0.9504800404244568,0.6789315407748099,0.9194907735982967,0.9281383722991189,0.741227183732694
U2R,200,0.06371191135734072,0.115,0.9848728965270319,0.08199643493761141,0.9771557842441447,0.9196735141424992,0.10943590808201853
normal,9711,1.0,0.9524250849552054,1.0,0.975632911392405,0.9795067423704755,0.9997189564673244,0.9997032019495122
