class,support,precision,recall_TPR,specificity_TNR,f1,accuracy_ovr,roc_auc_ovr,pr_auc_ovr
DoS,7458,0.14235119387638523,0.16706891928130865,0.5023863184409386,0.15372278082783294,0.3914567068843151,0.2667273778544088,0.3053638391583036
Probe,2421,0.09538598047914817,0.08880627839735647,0.8986731600655966,0.09197860962566845,0.8117015613910575,0.36991353855326303,0.0799765206433091
R2L,2754,0.19985159534998764,0.2933914306463326,0.836533602829712,0.2377519493894365,0.7701827537260468,0.47722273046362257,0.1196398422564827
U2R,200,0.031166039763567976,0.87,0.757921589688507,0.060176379042019716,0.758915897799858,0.8525672440028642,0.05182688745698484
normal,9711,1.0,0.19678714859437751,1.0,0.3288590604026846,0.6540099361249113,0.9786762271860461,0.9744355715401969
